State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
ACT,12/03/2020,,1,,,,,,,,ACT Health,
TAS,12/03/2020,,3,,,,,,,,Tasmania Department of Health,
SA,12/03/2020,,12,,,,,,,,SA Health website,
QLD,12/03/2020,,27,,,,,,,,Queensland Health,
VIC,12/03/2020,,27,,,,,,,,Victoria DHHS,
NSW,12/03/2020,13:00,78,2,11040,14856,,,,,NSW Health media release,
ACT,13/03/2020,,1,,,,,,,,ACT Health,
TAS,13/03/2020,,4,,,,,,,,Tasmania Department of Health,
WA,13/03/2020,,14,,3788,3802,,,,,,
SA,13/03/2020,,16,,,,,,,,SA Health website,
QLD,13/03/2020,,35,,,,,,,,Queensland Health,
VIC,13/03/2020,,36,,,,,,,,Victoria DHHS,
NSW,13/03/2020,11:00,92,3,14665,16685,,,,,NSW Health media release,
ACT,14/03/2020,,1,,,,,,,,ACT Health,
TAS,14/03/2020,,5,,,283,,,,,Tasmania Department of Health,
SA,14/03/2020,,19,,,,,,,,SA Health website,
QLD,14/03/2020,,46,,,,,,,,Queensland Health,
VIC,14/03/2020,17:02,49,,,,,,,,Victoria DHHS,
NSW,14/03/2020,11:00,112,4,18716,20496,,,,,NSW Health media release,
NT,15/03/2020,11:57,0,,,,,,,,NT Health website,
TAS,15/03/2020,10:30,6,,,359,,,,,health.gov.au,
TAS,15/03/2020,,7,,,,,,,,Tasmania Department of Health,
SA,15/03/2020,,20,,,,,,,,SA Health website,
VIC,15/03/2020,11:01,57,,,,,,,,Victoria DHHS,
QLD,15/03/2020,16.44,61,,,,,,,,Queensland Health,
NSW,15/03/2020,11:00,134,4,20511,22567,,,,,NSW Health,*1 is from Victoria and counted as Victorian in national figures
NSW,15/03/2020,,134,4,,,,,,,NSW Health,
ACT,16/03/2020,08:19,2,,,,,,,,ACT Health,
WA,16/03/2020,12:30,28,1,5878,5906,,,,,Website,
SA,16/03/2020,,29,,,,,,,,Media release,
QLD,16/03/2020,16:58,68,,,,,,,,Queensland Health email,
